Minimum Difference Between Largest and Smallest Value in Three Moves,https://leetcode.com/problems/minimum-difference-between-largest-and-smallest-value-in-three-moves,"Array, Greedy, Sorting",LeetCode
1839A Hyperspace Highways,https://codeforces.com/problemset/problem/1045/C,"dfs and similar,graphs,trees",Codeforces
1826D Beauty Pageant,https://codeforces.com/problemset/problem/246/C,"brute force,constructive algorithms,greedy",Codeforces
Cat and Mouse,https://leetcode.com/problems/cat-and-mouse,"Dynamic Programming, Game Theory, Graph, Math, Memoization, Topological Sort",LeetCode
1835B Practice,https://codeforces.com/problemset/problem/234/G,"constructive algorithms,divide and conquer,implementation",Codeforces
1838B Mahmoud and Ehab and the xor-MST,https://codeforces.com/problemset/problem/959/E,"bitmasks,dp,graphs,implementation,math",Codeforces
1843D Paint Tree,https://codeforces.com/problemset/problem/196/C,"constructive algorithms,divide and conquer,geometry,sortings,trees",Codeforces
1830E New Year and Original Order,https://codeforces.com/problemset/problem/908/G,"dp,math",Codeforces
Minimum Time to Remove All Cars Containing Illegal Goods,https://leetcode.com/problems/minimum-time-to-remove-all-cars-containing-illegal-goods,"Dynamic Programming, String",LeetCode
1838F Tourism,https://codeforces.com/problemset/problem/1220/E,"dfs and similar,dp,dsu,graphs,greedy,trees",Codeforces
Binary String With Substrings Representing 1 To N,https://leetcode.com/problems/binary-string-with-substrings-representing-1-to-n,String,LeetCode
1836A Required Length,https://codeforces.com/problemset/problem/1681/D,"brute force,dfs and similar,dp,hashing,shortest paths",Codeforces
1829E Correct Placement,https://codeforces.com/problemset/problem/1472/E,"binary search,data structures,dp,sortings,two pointers",Codeforces
1828A Rainbow Triples,https://codeforces.com/problemset/problem/1408/H,"binary search,data structures,flows,greedy",Codeforces
1832D1 Complex Market Analysis,https://codeforces.com/problemset/problem/1609/C,"binary search,dp,implementation,number theory,schedules,two pointers",Codeforces
1837B Spiderweb Trees,https://codeforces.com/problemset/problem/1326/G,"dp,geometry,trees",Codeforces
1840D Wooden Toy Festival,https://codeforces.com/problemset/problem/1840/D,"binary search,greedy,sortings",Codeforces
Masking Personal Information,https://leetcode.com/problems/masking-personal-information,String,LeetCode
1833D Bear and Friendship Condition,https://codeforces.com/problemset/problem/771/A,"dfs and similar,dsu,graphs",Codeforces
1826B Lucky Sum of Digits,https://codeforces.com/problemset/problem/109/A,"brute force,implementation",Codeforces
1833C Draw Brackets!,https://codeforces.com/problemset/problem/770/D,"*special problem,implementation",Codeforces
1828A On Changing Tree,https://codeforces.com/problemset/problem/396/C,"data structures,graphs,trees",Codeforces
Buy Two Chocolates,https://leetcode.com/problems/buy-two-chocolates,"Array, Sorting",LeetCode
1839B Bad Luck Island,https://codeforces.com/problemset/problem/540/D,"dp,probabilities",Codeforces
1843F2 Plate Game,https://codeforces.com/problemset/problem/197/A,"constructive algorithms,games,math",Codeforces
1829B Permutation Value,https://codeforces.com/problemset/problem/1743/B,"constructive algorithms,greedy",Codeforces
1841B Angry Students,https://codeforces.com/problemset/problem/1287/A,"greedy,implementation",Codeforces
Amount of New Area Painted Each Day,https://leetcode.com/problems/amount-of-new-area-painted-each-day,"Array, Ordered Set, Segment Tree",LeetCode
Spiral Matrix III,https://leetcode.com/problems/spiral-matrix-iii,"Array, Matrix, Simulation",LeetCode
1841D Tell Your World,https://codeforces.com/problemset/problem/849/B,"brute force,geometry",Codeforces
1826F Jzzhu and Chocolate,https://codeforces.com/problemset/problem/449/A,"greedy,math",Codeforces
1827E WOW Factor,https://codeforces.com/problemset/problem/1178/B,"dp,strings",Codeforces
1843F1 Getting an A,https://codeforces.com/problemset/problem/991/B,"greedy,sortings",Codeforces
1843C Dividing Island,https://codeforces.com/problemset/problem/63/D,constructive algorithms,Codeforces
Maximize the Topmost Element After K Moves,https://leetcode.com/problems/maximize-the-topmost-element-after-k-moves,"Array, Greedy",LeetCode
1827C Flights for Regular Customers,https://codeforces.com/problemset/problem/576/D,"dp,matrices",Codeforces
1826A Running Student,https://codeforces.com/problemset/problem/9/B,"brute force,geometry,implementation",Codeforces
